"type";"c"
"yt";1
"road; footway; road";1
"Rodoviária";1
"toll_bridge";1
"Nocatee Parkway";1
"Subway";1
"restricted byway";1
"<different>";1
"wood";1
"drive_in,service";1
"secondary; primary";1
"plan.at:la:primary_link";1
"cycleay";1
"airstrip";1
"hiking";1
"Набережная Грина";1
"Ladipo Bateye Street";1
"old";1
"b";1
"Church Hill";1
"trway";1
"re\";1
"Dirt Path";1
"service; motorway_link";1
"tertiary; trunk";1
"Stroes straat";1
"forest service";1
"clowes";1
"serv";1
"Bikeway";1
"plan.at:fb:pedestrian";1
"trqck";1
"rse";1
"footway; residential";1
"via Petrarca";1
"serice";1
"Rua Formosa";1
"Euskalherria kalea";1
"plan.at:gr:pedestrian";1
"no_way";1
"Pedestrian Bridge";1
"Rótulaunclassified";1
"plaza";1
"closed:pedestrian";1
"stile";1
"survey";1
"acesso aos Bombeiros";1
"foo";1
"Passeggiata Maria Teresa d'Austria";1
"plan.at:gm:residential";1
"amenity";1
"footway;cycleway";1
"Rue Turgot";1
"Kai unsurfaced";1
"toll_booth";1
"unsurfaced; unclassified";1
"sliproad";1
"plan.at:vb:motorway";1
"undefined; primary";1
"motorway_trunc";1
"Caerfai Road";1
"crossway";1
"bridleway;track";1
"Redvers Road";1
"unidentified";1
"destination";1
"lift";1
"residentielle";1
"bridleway; unclassified";1
"mo";1
"snowmobileway";1
"<verschieden>";1
"bus route";1
"secondary; primary; primary";1
"residtrackential";1
"flod";1
"Area";1
"foopath";1
"cycleway; incline_steep";1
"Interurban Bike Trail";1
"Impasse";1
"test";1
"horse_margin";1
"vers dep geomatique";1
"Bidston Village Road";1
"footwy";1
"source";1
"closed:trunk";1
"motorway_link; unclassified; residential";1
"indus";1
"plan.at:we:motorway";1
"plan.at:ki:primary_link";1
"borne escamotable";1
"2";1
"rack";1
"cycleandfootway";1
"lay-by";1
"T";1
"Maienhölzle";1
"Kearle Lodge Road";1
"pedestrian;cycleway;cycleway;cycleway";1
"Track";1
"Coventry Way RoW";1
"tt";1
"ytrack";1
"FIXME: ferry or ponton-bridge?";1
"tertriary";1
"footway; cycleway; footway; cycleway";1
"plan.at:gm:primary";1
"resGruberg.idential";1
"Enker Berg";1
"mortorway_link";1
"ford: Furt";1
"primary; motorway";1
"residential Calle 148";1
"closed:tertiary";1
"ro";1
"Calle 64";1
"car_park";1
"ser\";1
"footway/skiway";1
"classified";1
"Bavaria Private";1
"causeway";1
"boardwalk";1
"plan.at:bl:pedestrian";1
"Av. Los Maracos";1
"crossing;cycleway";1
"motorway_link; primary_link";1
"plan.at:lz:secondary";1
"no car allowed (ok motorbikes!)";1
"plan.at:ki:secondary";1
"track; disused";1
"access_ramp";1
"lierdererf";1
"Seaford-Oyster Bay Expressway";1
"Av. Siqueira Campos";1
"pru";1
"tracks";1
"gallops";1
"itr";1
"uг";1
"footway_unconstructed";1
"bicycle";1
"closed:service";1
"residentitrackal";1
"Willow Creek";1
"fos";1
"residntial";1
"runway";1
"primary; residential";1
"#";1
"J.S house";1
"constructrion";1
"steps; residential";1
"plan.at:lz:primary";1
"Veerpad";1
"path_unconstructed";1
"steps;footway";1
"secondary???";2
"stepping_stones";2
"path; track";2
"pit_lane";2
"grade3";2
"plan.at:mi:primary";2
"0x18";2
"subvay";2
"RAC Walking Path";2
"motorway_link_closed";2
"Dirt Road";2
"pontoon";2
"nothing";2
"plan.at:cycleway";2
"trace";2
"track; path";2
"plan.at:pedestrian";2
"Cobham Chase";2
"cycleway; track";2
"secondary _link";2
"plan.at:dl:secondary";2
"Bartley Road";2
"track:footway";2
"motorway-link";2
"no_track_anymore";2
"tiger:residential";2
"unclassified; track";2
"Residential";2
"plan.at:ri:residential";2
"rond-point A. Nobel";2
"srnkaway";2
"unimproved";2
"layer";2
"schnapp :-)";2
"primary; residential; motorway_link; residential";2
"scramble";2
"ttrack";2
"0x1a";2
"secondary; tertiary";2
"footway mountain red wite";2
"sters";2
"plan.at:vk:pedestrian";2
"#residential";2
"plan.at:b#:secondary";2
"residential; tertiary; residential";2
"path; track; footway";2
"plan.at:b#:primary_link";2
"fixme:unclassified";2
"speed_camera";2
"motorway_connector";2
":residential";2
"line_of_cairns";2
"patg";2
"private/semi residentel";2
"pedestrian; footway";2
"roundend";2
"plan.at:l#:motorway";2
"schneise";2
"motorway_link; residential";2
"Ph 5 DHA";2
"cycleway, track";2
"plan.at:l#:pedestrian";2
"footway; unclassified";2
"unsurfaced; tertiary";2
"Charr Village Access";2
"seri";2
"plan.at:dl:primary";2
"AIT Lhr";2
"forest aisle";2
"park road";2
"v";2
"plan.at:bl:primary";2
"parking lot";2
"patch";2
"service; unclassified";2
"Forest Road";2
"plan.at:sp:motorway_link";2
"Seaview Street";2
"plan.at:br:track";2
"Secondary";2
"Commercial";2
"unclassified; pedestrian";2
"warf";2
"V";2
"Garden Town";2
"bicycle path";2
"plan.at:fk:motorway";2
"cyl";2
"plan.at:do:unclassified";2
"Dirt road";2
"tracj";2
"osmr:parking";2
"plan.at:kb:pedestrian";2
"Bank Sqr";2
"steps_large";2
"airway";2
"construction_planned";2
"plan.at:vb:residential; tertiary";2
"plan.at:im:primary_link";2
"cr";2
"primery";2
"lease road";2
"cycleway; footway; footway; footway";2
"residential;tertiary";2
"plan.at:ki:unclassified";2
"runaway_truck_lane";2
"cycleway; footway; footway";2
"verybad footway";2
"street";2
"historic";2
"military";2
"footway; steps; footway";2
"pier";2
"road; residential";2
"Bicycle Path";2
"catwalk";2
"racetracksmall";2
"primary_link; primary";2
"0x19";2
"snowmobile";2
"plan.at:kr:pedestrian";2
"cycleway; pedestrian";2
"highway=Under_Construction";2
"service; residential; residential";2
"rail";3
"secondairy";3
"unsealed";3
"service; footway";3
"traboule";3
"plan.at:ri:unclassified";3
"r";3
"taxiway";3
"residential; pedestrian";3
"s";3
"rtack";3
"plan.at:im:motorway";3
"no way";3
"t";3
"cycleway;footway";3
"privat";3
"junction";3
"cycleway; residential";3
"residential; motorway_link";3
"Private";3
"pedestrian_overpass";3
"tracl";3
"square";3
"cycleway; footway; cycleway";3
"planed";3
"arcade";3
"path3";3
"skipist";3
"bollard";3
"racetrack";3
"plan.at:fk:pedestrian";3
"mall";3
"restricted";3
"closed:primary";3
"Saveljska cesta";3
"plan.at:wt:residential";3
"tiger claims residential";4
"residential;track";4
"residential; tertiary";4
"residential; secondary";4
"plan.at:dl:pedestrian";4
"plan.at:do:motorway_link";4
"pathway";4
"p";4
"";4
"path,track";4
"privite";4
"living_area";4
"unclassified; residential";4
"cycleway; unclassified";4
"path & foot";4
"residential; unclassified";4
"PA 43 Ramp";4
"plan.at:sp:secondary";4
"motorway_link; tertiary";4
"deprecated";4
"tr";4
"service; tertiary";4
"Piste";4
"footpath";4
"service; cycleway";4
"unclassified; service";4
"plan.at:bl:secondary";4
"plan.at:lz:pedestrian";4
"plan.at:sp:motorway";4
"plan.at:ta:primary";4
"unclassified; secondary";5
"plan.at:fb:primary_link";5
"parking_isle";5
"tertiary; unclassified";5
"parking_lane";5
"roundabout";5
"unclassified; footway";5
"plan.at:l#:motorway_link";5
"plan.at:bl:track";5
"closed";5
"stop";5
"ramp";5
"costruction";5
"parkimg_isle";5
"ski";5
"cattle_grid";5
"plan.at:lz:unclassified";5
"tertiary; residential";5
"service; track";5
"road; track";5
"path;track";5
"track; cycleway";5
"park";5
"tertiary;construction";5
"residential; primary";5
"track; secondary";5
"plan.at:me:motorway_link";6
"gallop";6
"plan.at:kr:secondary";6
"service\";6
"private_drive";6
"plan.at:vb:unclassified";6
"no";6
"plan.at:la:motorway";6
"plan.at:b#:motorway_link";6
"plan.at:p_:trunk_link";6
"ter";6
"plan.at:p_track";6
"plan.at:gr:unclassified";6
"teriary_link";6
"secondary; unclassified";6
"plan.at:la:track";6
"plan.at:b#:unclassified";6
"residential; service";7
"cyclelane";7
"ser";7
"plan.at:ze:unclassified";7
"way";7
"busway";7
"plan.at:vk:unclassified";7
"track; service";7
"track; unclassified";7
"0x0";7
"emergency_access_point";7
"Egevænget";8
"aeroway";8
"motorway_link,disused";8
"plan.at:sp:primary";8
"toad";8
"plan.at:fb:motorway_link";8
"plan.at:fb:motorway";8
"surfaced";8
"gate";8
"unclassified_link";8
"plan.at:do:pedestrian";8
"highway";9
"plan.at:im:primary";10
"plan.at:p_:motorway";10
"plan.at:b#:pedestrian";10
"plan.at:fb:primary";10
"footway; cycleway";10
"escalator";10
"plan.at:ho:residential";10
"plan.at:br:residential";10
"secondary; residential";10
"truck";10
"footway;steps";10
"viaduct";10
"plan.at:motorway";10
"plan.at:ze:primary_link";10
"traffic_signals";10
"plan.at:lz:track";10
"elevator";11
"plan.at:p_:pedestrian";11
"plan.at:p_:motorway_link";11
"plan.at:trunk";11
"plan.at:gr:residential";11
"plan.at:kr:unclassified";11
"plan.at:kb:unclassified";12
"area";12
"plan.at:ta:residential";13
"link";13
"lane";13
"private_driveway";14
"cycleway; service; service";14
"track; footway";14
"plan.at:me:primary_link";15
"plan.at:b#:primary";15
"plan.at:b#:track";15
"plan.at:vb:motorway_link";15
"plan.at:me:pedestrian";15
"pah";16
"plan.at:l#:unclassified";16
"plan.at:fk:primary";16
"service; residential";16
"plan.at:fk:motorway_link";16
"precinct";17
"residential; track";17
"plan.at:ri:track";17
"disused";17
"plan.at:gd:residential";18
"plan.at:kb:primary_link";18
"footway; steps";18
"plan.at:me:motorway";18
"plan.at:mi:secondary";18
"plan.at:do:secondary";18
"incline_steep";19
"bus_lane";19
"plan.at:do:primary";19
"plan.at:gr:track";19
"plan.at:ze:secondary";19
"route";19
"planned";20
"plan.at:ze:pedestrian";20
"neverbuilt";20
"plan.at:vk:secondary";20
"plan.at:ze:primary";20
"trail";21
"unclassiifed";21
"plan.at:bl:unclassified";21
"restricted access";21
"motorway_junction";21
"plan.at:motorway_link";22
"plan.at:l#:secondary";22
"plan.at:vb:primary";22
"cycleway; footway";22
"incline";24
"plan.at:ze:track";24
"virtual";25
"plan.at:l#:primary";25
"bridge";26
"plan.at:primary_link";27
"plan.at:fk:secondary";27
"plan.at:dl:residential";28
"plan.at:la:motorway_link";28
"layby";28
"plan.at:p_:primary";31
"State Route";31
"fixme";33
"plan.at:vb:track";33
"plan.at:ki:track";33
"plan.at:we:secondary";37
"plan.at:fb:secondary";37
"plan.at:im:residential";37
"unpaved";38
"alley";39
"abandoned";39
"footway; track";41
"walkway";41
"plan.at:sp:track";42
"plan.at:primary";44
"plan.at:do:track";44
"plan.at:fk:track";44
"plan.at:bl:residential";47
"mini_roundabout";47
"plan.at:dl:track";48
"plan.at:fk:unclassified";49
"plan.at:fb:trunk";49
"plan.at:mi:track";52
"plan.at:vk:track";53
"plan.at:kr:track";54
"driveway";55
"plan.at:ki:residential";55
"plan.at:me:primary";61
"plan.at:mi:unclassified";61
"plan.at:la:secondary";62
"plan.at:kb:secondary";69
"plan.at:sp:unclassified";70
"plan.at:dl:unclassified";70
"services";71
"piste";76
"plan.at:secondary";77
"plan.at:me:secondary";79
"plan.at:la:primary";80
"0xc";88
"plan.at:kr:residential";94
"plan.at:l#:road";94
"plan.at:kb:primary";94
"plan.at:kb:track";96
"plan.at:fb:residential";109
"bus_stop";110
"plan.at:unclassified";116
"stub";116
"undefined";117
"plan.at:we:track";127
"private";129
"raceway";132
"plan.at:p_:secondary";140
"plan.at:mi:residential";158
"plan.at:ze:residential";169
"plan.at:lz:residential";176
"plan.at:vb:secondary";181
"plan.at:track";185
"plan.at:vk:residential";186
"bus_guideway";203
"plan.at:b#:residential";208
"turning_circle";210
"ford";212
"platform";227
"plan.at:we:residential";242
"crossing";257
"proposed";275
"tertiary_link";278
"plan.at:l#:track";386
"plan.at:sp:residential";392
"plan.at:me:unclassified";399
"plan.at:la:residential";453
"plan.at:me:residential";516
"FIXME";566
"plan.at:p_:unclassified";595
"unknown";757
"plan.at:do:residential";786
"plan.at:p_:track";819
"plan.at:me:track";913
"plan.at:residential";974
"plan.at:fb:unclassified";994
"byway";1064
"plan.at:fk:residential";1253
"plan.at:p_:residential";1262
"plan.at:l#:residential";1295
"minor";1835
"plan.at:fb:track";2186
"plan.at:kb:residential";2399
"plan.at:vb:residential";2714
"secondary_link";3998
"construction";4961
"unsurfaced";9385
"bridleway";11332
"primary_link";41763
"living_street";49701
"trunk_link";52301
"steps";54272
"path";77882
"road";100390
"pedestrian";103955
"trunk";116142
"motorway";142593
"cycleway";190892
"motorway_link";258798
"primary";439031
"footway";672119
"tertiary";788480
"secondary";805093
"track";973289
"unclassified";1617011
"service";3364850
"residential";18327210
